draft_id,variante,titulo,descripcion,tokens_prompt,tiempo_s,n_palabras,menciona_precio,menciona_contacto
draft-001,v4-4B,Casa para vivir al aire libre y en familia,"En Prudencio Moscoso, esta casa ofrece espacios para disfrutar el aire libre sin salir de casa. La terraza y el jardín invitan a relajarse, comer al aire libre o compartir momentos con los más pequeños. Diseñada para la convivencia familiar, permite que cada miembro de la casa tenga su rincón y su momento. A estrenar y con superficie amplia, es ideal para quienes buscan tranquilidad y espacio diario.",620,37.9,68,False,False
draft-002,v4-4B,Departamento en El Cerrillo con seguridad y comodidad,"Vive con tranquilidad en un departamento en El Cerrillo, donde el acceso controlado ofrece mayor tranquilidad y seguridad 24 horas. Resuelve el día a día con comodidad, ideal para parejas o familias que van creciendo. El elevador facilita el movimiento diario, mientras que el condominio brinda un entorno estable y acogedor. La alberca se menciona brevemente como opción adicional.",612,24.4,59,False,False
draft-003,v4-4B,Casa en Barrio de Guadalupe para familias,"Esta casa de más de 30 años ofrece practicidad para resolver el día a día con comodidad. Diseñada para la convivencia en familia, permite que cada miembro tenga su espacio sin perder conexión. Con una superficie amplia y una cocina integral, el día a día se vuelve más sencillo. El cuarto de servicio agrega funcionalidad, fortaleciendo la organización de la vida cotidiana.",618,23.8,62,False,False
draft-004,v4-4B,Departamento práctico en La Isla,"Listo para habitarse sin complicaciones, este departamento ofrece una vida diaria sencilla y eficiente. Con una estructura moderna y reciente, resuelve el día a día con comodidad. Cuenta con amueblado y closets que facilitan el inicio de una nueva rutina. El espacio, aunque compacto, se adapta bien al estilo de vida de quienes buscan practicidad en su hogar.",629,23.8,58,False,False
draft-005,v4-4B,Casa para familia en 31 de Marzo,"Diseñada para la convivencia familiar, esta casa ofrece un espacio equilibrado y acogedor donde cada miembro de la familia puede sentirse cómodo. El ambiente promueve una vida diaria tranquila, ideal para quienes buscan estabilidad y calma en su rutina cotidiana.",562,18.8,40,False,False
draft-006,v4-4B,Departamento para vivir juntos en Real del Monte,"En Real del Monte, este departamento ofrece espacios para disfrutar el aire libre sin salir de casa, con una terraza y un área de juegos infantiles que enriquecen el día a día. Diseñado para la convivencia en familia, permite vivir con comodidad y cercanía mientras crecen las necesidades de los miembros de casa. Construido en 2023, forma parte de un condominio con una estructura moderna y funcional que refleja una vida estable y en armonía.",633,26.9,75,False,False
draft-007,v4-4B,"Local Comercial en Centro, Listo para Operar","En Centro, un local comercial recientemente construido ofrece acceso controlado para mayor tranquilidad y circuito cerrado de seguridad. Es un espacio listo para operar, ideal para quienes comienzan o crecen su propio negocio. Con una estructura sólida y diseño moderno, se prioriza la funcionalidad y la tranquilidad diaria para atender a los clientes.",626,22.2,53,False,False
draft-001,v4-1.7B,Casa en Prudencio Moscoso,"La casa en Prudencio Moscoso es una excelente opción para familias que buscan espacio y comodidad. Con una superficie de 200 m² y 4 recámaras, es ideal para una vida cotidiana tranquila. La terraza y el jardín son espacios para disfrutar el aire libre sin salir de casa. La casa está a estrenar y ofrece una independencia completa. La casa tiene 2 estacionamientos, pero no se menciona en el draft. La amenidad principal es el gimnasio, pero no se menciona en el draft. La casa se adapta para una convivencia familiar, con un diseño que favorece la vida diaria y la facilidad de instalarse.",596,20.3,104,False,False
draft-002,v4-1.7B,Departamento en El Cerrillo,"Un departamento de 85 m² con 2 recámaras y 1 baño, situado en El Cerrillo. La propiedad está en condominio y ofrece acceso controlado con seguridad 24h. El elevador garantiza comodidad en el día a día. La alberca es un recurso para la vida en conjunto. Se trata de un lugar de permanencia y valor de largo plazo para familias que van creciendo.",598,12.4,63,False,False
draft-003,v4-1.7B,Casa de 320 m² en Barrio de Guadalupe,"Esta casa de 320 m² en Barrio de Guadalupe es ideal para familias que buscan espacio y comodidad. Con cinco recámaras y tres baños, es una solución práctica para el día a día. La cocina integral y el cuarto de servicio son amenidades clave. Con más de 30 años de antigüedad, esta propiedad ofrece una historia de calidad y permanencia. La independencia de espacios y el diseño moderno garantizan una vida cotidiana tranquila y funcional.",595,15.2,75,False,False
draft-004,v4-1.7B,Departamento Práctico,"Un departamento de 45 m² en la Isla, equipado con amueblado y closets. Con un roof garden para disfrutar de la vida en conjunto. Ideal para profesionistas que buscan flexibilidad y comodidad en su rutina diaria.",614,8.9,36,False,False
draft-005,v4-1.7B,Casa 31 de Marzo,"La casa de 120 m² en 31 de Marzo ofrece espacio para una familia. Con 3 recámaras y 2 baños, se adapta a la necesidad de vivir. La independencia de la casa permite una vida tranquila, con un ritmo de vida fácil de integrar. El estacionamiento es el único en la colonia.",538,9.7,52,False,False
draft-006,v4-1.7B,Dpto. Con Terraza y Juegos Infantiles,"Un departamento de 140 m² con 3 recámaras y 2 baños, ubicado en el condominio Real del Monte. Diseñado para la convivencia familiar, con espacio para toda la familia. La terraza y el área de juegos infantiles ofrecen comodidad y entretenimiento. La construcción de 2023 asegura calidad y estabilidad, ideal para un estilo de vida práctico y permanente.",619,12.2,58,False,False
draft-007,v4-1.7B,Espacio Comercial Seguro y Funcional,"Este local comercial está ubicado en el corazón de Centro, ofreciendo una solución ideal para pequeñas y medianas empresas. Con un diseño funcional y un ambiente acogedor, el espacio está listo para operar de inmediato. El acceso controlado asegura una seguridad mayor, mientras que el circuito cerrado (CCTV) garantiza un ambiente tranquilo. El aire acondicionado está disponible, pero no se menciona su uso. La propiedad se construyó en 2021, ofreciendo una excelente oportunidad para desarrollar un negocio con garantías.",596,14.1,79,False,False
