tema,frase_1,frase_2
vida_al_aire_libre,espacios para disfrutar el aire libre sin salir de casa,momentos al exterior en el día a día
convivencia_familiar,pensada para la convivencia en familia,espacios donde cada quien tiene su lugar
bienestar,facilita una rutina activa y saludable,bienestar sin salir del hogar
practicidad,resuelve el día a día con comodidad,una distribución que aprovecha cada metro
tranquilidad,un ritmo de vida tranquilo,privacidad para descansar
seguridad,acceso controlado para mayor tranquilidad,un entorno cuidado y vigilado
estilo_moderno,diseño actual con personalidad,ambientes luminosos y contemporáneos
patrimonio,un patrimonio que se disfruta todos los días,una decisión pensada en el largo plazo
flexibilidad,lista para habitarse sin complicaciones,ideal para instalarse pronto
confort_interior,interiores cómodos en cualquier época del año,equipada para la comodidad diaria
funcionalidad_comercial,un espacio listo para operar,pensado para la actividad diaria del negocio
