draft_id,variante,titulo,descripcion,tokens_prompt,tiempo_s,menciona_precio,menciona_contacto,n_palabras
draft-001,v2,Casa a estrenar en Prudencio Moscoso,"Linda casa de 200 m² a estrenar en la colonia Prudencio Moscoso, construida en 2025. Cuenta con 4 recámaras, 3 baños, estacionamientos para dos vehículos y espacios al aire libre como terraza y jardín. Disfruta de una vivienda moderna con acceso a un gimnasio. Ideal para quien busca comodidad y diseño actual en un entorno familiar.",431,31.2,False,False,56
draft-002,v2,Departamento en El Cerrillo con Alberca y Seguridad 24h,"Departamento de 85 m² en el exclusivo condominio de El Cerrillo, construido en 2010. Cuenta con 2 recámaras, 1 baño y estacionamiento para un solo vehículo. Disfruta de confort con alberca, seguridad las 24 horas y elevador. Ideal para familias que buscan tranquilidad y comodidad en un entorno bien mantenido.",436,21.5,False,False,50
draft-003,v2,Casa de 5 recámaras en Barrio de Guadalupe,"Casa de 320 m² en el corazón de Barrio de Guadalupe, construida en 1965 y ubicada en un entorno privado sin condominio. Contiene cinco recámaras, tres baños y dos estacionamientos. Cuenta con patio y cuarto de servicio. Ideal para familias en busca de espacio y tranquilidad en un entorno accesible.",431,21.1,False,False,50
draft-004,v2,Departamento en La Isla con vista al roof garden,"Departamento de 45 m² en la colonia La Isla, construido en 2018. Cuenta con una recámara y un baño, ubicado en condominio que ofrece amenidades como roof garden y área de lavado. Ideal para quienes buscan un espacio funcional y cómodo en un entorno seguro y bien mantenido.",417,17.1,False,False,48
draft-005,v2,"Casa en 31 de Marzo, 3 recámaras","Casa de 120 m² en el corazón de 31 de Marzo, construida en 1998. Cuenta con 3 recámaras, 2 baños y un estacionamiento. Ideal para quienes buscan un espacio tranquilo y funcional en una zona estable. Sin pertenencia a condominio, ofrece libertad y autonomía en el uso del inmueble.",416,19.4,False,False,49
draft-006,v2,Departamento en Real del Monte con 3 Recámaras,"Departamento de 140 m² ubicado en el moderno condominio de Real del Monte, construido en 2023. Cuenta con 3 recámaras, 2 baños y 2 estacionamientos. Disfruta de amenidades como sala de cine, ludoteca y terraza. Ideal para familias que buscan comodidad y calidad en un entorno seguro y bien mantenido.",431,20.4,False,False,50
draft-007,v2,Loft en Centro con doble altura,"Este loft de 60 m² se encuentra en el centro de la ciudad, construido en 2021 y con una excelente ubicación. Cuenta con una recámara, un baño y diseño de doble altura que aporta un aire moderno y espacioso. Disponible para renta, ideal para quien busca un espacio funcional y atractivo en el corazón del barrio. También incluye un área de lavado para mayor comodidad.",414,19.9,False,False,65
draft-001,v3,Casa de reciente construcción en Prudencio Moscoso,"Una casa amplia y moderna, a estrenar, en el corazón de Prudencio Moscoso. Ofrece espacio para vivir con tranquilidad y bienestar. Cuenta con terraza para disfrutar el aire libre sin salir de casa y un gimnasio para mantener una rutina activa y saludable. Ideal para familias que buscan un hogar con independencia y espacios para todos.",699,35.7,False,False,56
draft-002,v3,Departamento en El Cerrillo con alberca y seguridad,"Ubicado en un condominio moderno, este departamento de 85 m² ofrece practicidad y comodidad para familias en crecimiento. Contó con alberca que facilita una rutina activa y saludable, ideal para la convivencia en familia. La seguridad 24 horas y el elevador aseguran tranquilidad diaria. Construido en 2010, está pensado para una vida en conjunto equilibrada y sostenida.",677,26.1,False,False,57
draft-003,v3,Casa amplia en Barrio de Guadalupe,"En Barrio de Guadalupe, esta casa de más de 30 años ofrece espacios amplios y un aire de vida cotidiana. Con cinco recámaras y tres baños, cuenta con un patio para disfrutar el aire libre sin salir de casa. El cuarto de servicio resuelve el día a día con comodidad. Su historia de más de seis décadas da a esta vivienda un carácter auténtico y tranquilo para familias que buscan estabilidad y espacio para todos.",707,28.0,False,False,75
draft-004,v3,Departamento práctico en La Isla,"Ubicado en un condominio reciente, este departamento ofrece un espacio compacto y eficiente para quienes buscan practicidad en su vida diaria. Cuenta con una recámara y un baño, ideal para una rutina sencilla y cómoda. Disfruta de espacios al aire libre en el roof garden, donde puedes relajarte sin salir de casa. La vida en conjunto se vive con comodidad y atención al detalle.",673,24.5,False,False,64
draft-005,v3,Casa de 3 recámaras en 31 de Marzo,"Espaciosa casa en la colonia 31 de Marzo, ideal para familias que buscan un hogar con independencia y espacio para la vida diaria. Construida en 1998, cuenta con tres recámaras y dos baños, todo en un entorno tranquilo y funcional. Disponible para renta, perfecta para quienes desean establecerse con comodidad y organización.",608,22.7,False,False,52
draft-006,v3,Departamento reciente en Real del Monte,"Ubicado en un condominio con espacios para disfrutar el aire libre sin salir de casa, este departamento ofrece practicidad y convivencia. Con tres recámaras y dos baños, es ideal para parejas o familias que van creciendo. La construcción reciente aporta comodidad y valor a largo plazo, mientras que las amenidades como sala de cine y ludoteca enriquecen el día a día.",675,24.4,False,False,61
draft-007,v3,Loft moderno en Centro,"Este loft recién construido en la colonia Centro ofrece un diseño contemporáneo con doble altura que comunica amplitud y personalidad. Diseñado para la vida diaria, incluye un área de lavado que resuelve el día a día con comodidad. Es un espacio práctico y eficiente para quienes valoran la funcionalidad y el ambiente moderno.",648,21.4,False,False,53
